[2/9/23 11:06 AM]|Book|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1364: (conn=15377) Field 'status' doesn't have a default value>
[2/9/23 11:24 AM]|Patron|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1406: (conn=15451) Data too long for column 'stateCode' at row 1>
[2/9/23 11:47 AM]|Patron|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1406: (conn=15645) Data too long for column 'stateCode' at row 1>
[2/9/23 12:29 PM]|PatronCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=15844) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'WHERE (dateOfBirth < 90;)' at line 1>
[2/9/23 12:35 PM]|PatronCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=15847) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROMPatron WHERE (dateOfBirth < 90;)' at line 1>
[2/9/23 12:35 PM]|PatronCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: (conn=15868) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ';)' at line 1>
[3/2/23 1:41 PM]|InsertPatronTransaction|Transaction|Error|NOTAG|null<Could not find any accounts for>
[3/2/23 1:42 PM]|InsertPatronTransaction|Transaction|Error|NOTAG|null<Could not find any accounts for>
[3/2/23 1:43 PM]|InsertPatronTransaction|Transaction|Error|NOTAG|null<Could not find any accounts for>
[3/3/23 2:29 PM]|InsertPatronTransaction|Transaction|Error|NOTAG|null<Could not find any accounts for>
[3/8/23 10:00 PM]|Librarian|createTransaction|Error|NOTAG|null<Transaction Creation Failure: Unrecognized transaction java.lang.NullPointerException>
[3/8/23 10:00 PM]|Librarian|createTransaction|Error|NOTAG|null<Transaction Creation Failure: Unrecognized transaction java.lang.NullPointerException>
[3/19/23 11:36 AM]|Librarian|createTransaction|Error|NOTAG|null<Transaction Creation Failure: Unrecognized transaction java.lang.NullPointerException>
